Project Name,Latitude,Longitude,Google Maps URL,Micromarket Name
Purva Zenium,13.1460978,77.6363508,"https://www.google.com/maps/place/Purva+Zenium/@13.1460978,77.6363508,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae198832e8b5df:0xe35302a5286768d2!8m2!3d13.1460926!4d77.6389257!16s%2Fg%2F11gy9x4h_c?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Bagaluru
DS Max Sovereign,13.03521,77.6994676,"https://www.google.com/maps/place/DS+MAX+SOVEREIGN/@13.03521,77.6994676,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae11422b7cc5fb:0xaa58119f2ceec782!8m2!3d13.0352048!4d77.7020425!16s%2Fg%2F11tp2sb8m3?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Margondanahalli
Artemis Address,13.0311032,77.3856178,"https://www.google.com/maps/place/Artemis+Address/@13.0311032,77.3856178,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae3bdc1b823353:0x2cbc88699362c80c!8m2!3d13.031098!4d77.3881927!16s%2Fg%2F11vs9vhhg2?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Nelamangala
Casagrand Flamingo,12.9006426,77.6440557,"https://www.google.com/maps/place/Casagrand+Flamingo/@12.9006426,77.6440557,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae15f55bb69f79:0x2b560ac6ba62fba7!8m2!3d12.9006374!4d77.6466306!16s%2Fg%2F11kjjk859_?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",HSR Layout
VBHC Havens of Joy,12.8832411,77.4701964,"https://www.google.com/maps/place/VBHC+Haven+of+Joy/@12.8832411,77.4701964,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae3f4ac89d213f:0x50642e6bfead8b83!8m2!3d12.8832359!4d77.4727713!16s%2Fg%2F11ssqf04pc?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Challaghatta
Earthsong,13.2240393,77.6419798,"https://www.google.com/maps/place/Earthsong+by+Manyata+-+Residential+Plots+in+Bangalore/@13.2240393,77.6419798,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1e1033f5ba57:0x374ace73cdcc19f!8m2!3d13.2240341!4d77.6445547!16s%2Fg%2F11f088hx4c?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Devanahalli
Tata Raagam,13.189456,77.6614468,"https://www.google.com/maps/search/Tata+Raagam,+Bengaluru,+Karnataka,+India/@13.189456,77.6614468,16z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Airport City
DNR Solace,13.2676829,77.6692257,"https://www.google.com/maps/place/DNR+Solace/@13.2676829,77.6692257,17z/data=!3m1!4b1!4m6!3m5!1s0x3bb1e38e69b10e99:0x6dd017544999dd0f!8m2!3d13.2676777!4d77.6718006!16s%2Fg%2F11l2hpwd2r?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Devanahalli
DS Max Sky Samurai,12.9834362,77.8228921,"https://www.google.com/maps/place/Ds+Max+SkySamurai/@12.9834362,77.8228921,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae0f002daed4ab:0x78a31842c080ad52!8m2!3d12.983431!4d77.825467!16s%2Fg%2F11w4_qv9hg?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Hoskote
Nambiar Ellegenza,12.8419107,77.7278157,"https://www.google.com/maps/place/Nambiar+Ellegenza/@12.8419107,77.7278157,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6d71e2730365:0x34c3f0269c053f82!8m2!3d12.8419055!4d77.7303906!16s%2Fg%2F11clyt2q9j?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Muthanallur
DS MAX Stavam,13.1328785,77.5792248,"https://www.google.com/maps/place/4HMJ%2B5P2+Ds+Max+Stavam,+harohali+lake+north,+taluka,+ISRO+Layout+Phase+II,+Harohalli,+Bengaluru,+Karnataka+560064/@13.1328785,77.5792248,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae18b903bb3f57:0x6fa19c5c998d8ef2!8m2!3d13.1328733!4d77.5817997!16s%2Fg%2F11q3stxcpf?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Yelahanka
Sobha Ayana at Dream acres wing 60 to 71,12.9443972,77.7047972,"https://www.google.com/maps/dir/Sobha+Dream+Acres+Wing+13,+Panathur+Main+Road,+Balagere,+Bengaluru,+Karnataka+560087/Building+number+71,+71,+6th+Cross+Rd,+Sri+Venkateshwara+Layout,+Munnekollal,+Bengaluru,+Karnataka+560037/@12.9443972,77.7047972,15z/data=!3m1!4b1!4m13!4m12!1m5!1m1!1s0x3bae137a69792b75:0xc814f7eb6756fe5c!2m2!1d77.7212969!2d12.9371135!1m5!1m1!1s0x3bae13e116d5692f:0x25df7604edf4f799!2m2!1d77.7106998!2d12.9513841?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Brookefield
DS Max Shresta,13.0989438,77.6366621,"https://www.google.com/maps/place/DS-MAX+Shresta/@13.0989438,77.6366621,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1987366369fb:0xc06949861b034026!8m2!3d13.0989386!4d77.639237!16s%2Fg%2F11shlkk8r5?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Yelahanka
Assetz Soho & Sky,13.0714202,77.6125958,"https://www.google.com/maps/place/Assetz+Soho+%26+Sky/@13.0714202,77.6125958,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1989e1340dd5:0x198e8545a242c52a!8m2!3d13.071415!4d77.6151707!16s%2Fg%2F11h5smtfz4?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Jakkur
Adarsh Sanctuary,12.8817511,77.7004886,"https://www.google.com/maps/place/Adarsh+Sanctuary/@12.8817511,77.7004886,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1363a78b4889:0xac860261de811890!8m2!3d12.8817459!4d77.7030635!16s%2Fg%2F11jcs49zqc?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Avalahalli
Brigade Komarla Heights,12.9127452,77.5498828,"https://www.google.com/maps/place/Brigade+Komarla+Heights/@12.9127452,77.5498828,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae3fc6a90b8987:0x8cfe1dac90d37576!8m2!3d12.91274!4d77.5524577!16s%2Fg%2F11thn9cnz9?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Uttarahalli
Bhoo Aabharana,13.0628495,77.6612075,"https://www.google.com/maps/place/Bhoo+Aabharana/@13.0628495,77.6612075,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae1b6e472d060b:0xbb255be014b5235!8m2!3d13.0628443!4d77.6637824!16s%2Fg%2F11vk8v7fwd?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Kyalasanahalli
Ambience Downtown,13.0019437,77.6285348,"https://www.google.com/maps/place/Ambience+Downtown/@13.0019437,77.6285348,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae17b33bb2c21d:0x5255e4a72559836b!8m2!3d13.0019385!4d77.6311097!16s%2Fg%2F11j3rx9s_5?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Baiyappanahalli
Prestige Fairfield,13.0460297,77.5688012,"https://www.google.com/maps/place/PRESTIGE+FAIRFIELD/@13.0460297,77.5688012,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae17b0d1df7eb7:0xee46e57bdfd4d289!8m2!3d13.0460245!4d77.5713761!16s%2Fg%2F11g10gnyhg?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Radhakrishna Temple Ward
Parkwest,12.9661532,77.5562312,"https://www.google.com/maps/place/Park+West/@12.9661532,77.5562312,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae3f44d72fd2a5:0xa9aad9b153a802f8!8m2!3d12.966148!4d77.5588061!16s%2Fg%2F11gnsv56kw?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Nagarabhavi
SNN Raj Viviente,12.8527292,77.5976751,"https://www.google.com/maps/place/SNN+Raj+Viviente/@12.8527292,77.5976751,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae6b7e16364e9b:0x7919b132ab2d2246!8m2!3d12.852724!4d77.60025!16s%2Fg%2F11pzrf3_b_?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Akshayanagar
Earth and Essence,13.0557018,77.5133445,"https://www.google.com/maps/search/Earth+and+Essence,+Bengaluru,+Karnataka,+India/@13.0557018,77.5133445,12z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Jalahalli
Prestige Primrose Hills,12.8675575,77.5210609,"https://www.google.com/maps/place/Prestige+Primrose+Hills/@12.8675575,77.5210609,17z/data=!3m1!4b1!4m6!3m5!1s0x3bae3f2339db1c29:0x7a240c051fc1bd68!8m2!3d12.8675523!4d77.5236358!16s%2Fg%2F11h3jhtc_m?entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",Banashankari 6th Stage
